"prov" "agno" "casos" "esp" "long" "lat"
"1" 1 1975 12 14.2711243786032 -2.69920255095887 42.8362688079098
"2" 2 1975 40 32.0662448313336 -1.98432704501776 38.8405206642905
"3" 3 1975 94 79.9483120436699 -0.576909403944958 38.4974913538265
"4" 4 1975 19 28.2656515042725 -2.35604061514020 37.2133431727737
"5" 5 1975 15 22.8810806910019 -4.93788312937989 40.5815877800085
"6" 6 1975 61 58.1024569486202 -6.13905369866462 38.7256674878886
"7" 7 1975 69 55.6390674326607 2.91946602099717 39.6320217153478
"8" 8 1975 309 294.277326873377 1.99811663925652 41.7469265779753
"9" 9 1975 17 34.4364345788523 -3.59134675355039 42.3729704312902
"10" 10 1975 31 40.1698179953138 -6.15535052135614 39.7231926273179
"11" 11 1975 79 46.8070194879904 -5.76468483106548 36.5624969412696
"12" 12 1975 50 42.9557761933084 -0.148039282559446 40.2507348146576
"13" 13 1975 40 42.0302217744582 -3.81339188792 38.9298215736108
"14" 14 1975 35 55.1136042086863 -4.81499528758521 38.0049023897714
"15" 15 1975 66 81.8681653871438 -8.45971855216294 43.1280401889178
"16" 16 1975 19 28.7512215771667 -2.19548700715003 39.9086860718255
"17" 17 1975 53 40.9815080376224 2.68708796205338 42.145865652011
"18" 18 1975 50 54.5257718871287 -3.2725162184824 37.3330507124855
"19" 19 1975 15 20.5058160061072 -2.62128556282702 40.8274558690964
"20" 20 1975 23 39.9641723970453 -2.16792853126469 43.1528089188849
"21" 21 1975 35 30.6946959252946 -6.83265276754075 37.5978334583402
"22" 22 1975 19 28.1315990459642 -0.059609139223607 42.2142401605038
"23" 23 1975 47 54.6651421382296 -3.44979781370444 38.0308250493701
"24" 24 1975 44 50.3010619064719 -5.82870631120274 42.634323440999
"25" 25 1975 47 38.9143032100181 1.05797639294180 42.0569667018661
"26" 26 1975 25 22.6067250465755 -2.50129759774743 42.2834647638459
"27" 27 1975 38 55.3990541440799 -7.43968312456498 43.0234823442494
"28" 28 1975 214 242.66199294573 -3.71281962879811 40.5070988091236
"29" 29 1975 74 59.3159059504278 -4.73055642619482 36.8262859308411
"30" 30 1975 68 67.428748370636 -1.49630010993228 38.0192645198754
"31" 31 1975 33 42.2644624863674 -1.62626983258690 42.6731456222013
"32" 32 1975 38 48.335527626882 -7.57751195701661 42.2058800425114
"33" 33 1975 62 87.2891470384086 -5.9826023524122 43.3068393860113
"34" 34 1975 18 18.7086563237056 -4.5244778612837 42.3858592040108
"35" 35 1975 40 34.1971575931305 -14.0808342801231 28.5157089130002
"36" 36 1975 72 55.7338071230249 -8.44460855754943 42.4398016773539
"37" 37 1975 35 41.4214012669167 -6.0589248043088 40.8171845370366
"38" 38 1975 42 39.5453557415741 -16.5420836626214 28.4318722417734
"39" 39 1975 42 37.80849073285 -4.01407954592847 43.2119867222126
"40" 40 1975 23 17.7882367627836 -4.04852400392879 41.1828032906417
"41" 41 1975 66 84.734696355172 -5.68875708808965 37.448879916972
"42" 42 1975 6 14.7155714932066 -2.58123034319994 41.6308263313168
"43" 43 1975 44 49.3348865726758 0.826785127629588 41.099494777678
"44" 44 1975 10 23.0290988042719 -0.812830844826387 40.6744694945262
"45" 45 1975 39 47.5741446630047 -4.14438535984712 39.8056144801947
"46" 46 1975 162 150.495465248008 -0.789648969061416 39.3579240490339
"47" 47 1975 36 32.1180171028265 -4.83269168581912 41.6440757226044
"48" 48 1975 81 68.3464955912415 -2.83223719674931 43.2527888459929
"49" 49 1975 16 28.377009407172 -5.96472387457858 41.742081055707
"50" 50 1975 71 72.9085505759501 -1.05613701304700 41.6309680140457
"51" 1 1976 14 14.8456720625968 -2.69920255095887 42.8362688079098
"52" 2 1976 43 32.8530092857114 -1.98432704501776 38.8405206642905
"53" 3 1976 103 82.9203292418443 -0.576909403944958 38.4974913538265
"54" 4 1976 23 29.122331849012 -2.35604061514020 37.2133431727737
"55" 5 1976 14 23.422307897102 -4.93788312937989 40.5815877800085
"56" 6 1976 73 59.470931599328 -6.13905369866462 38.7256674878886
"57" 7 1976 64 57.5139795824554 2.91946602099717 39.6320217153478
"58" 8 1976 293 305.7190443647 1.99811663925652 41.7469265779753
"59" 9 1976 31 35.471070923655 -3.59134675355039 42.3729704312902
"60" 10 1976 25 41.4094220868754 -6.15535052135614 39.7231926273179
"61" 11 1976 59 48.5046656405454 -5.76468483106548 36.5624969412696
"62" 12 1976 48 44.2882853032968 -0.148039282559446 40.2507348146576
"63" 13 1976 38 43.2473904902692 -3.81339188792 38.9298215736108
"64" 14 1976 43 56.7805474129711 -4.81499528758521 38.0049023897714
"65" 15 1976 59 84.9550048984993 -8.45971855216294 43.1280401889178
"66" 16 1976 22 29.5259636543733 -2.19548700715003 39.9086860718255
"67" 17 1976 49 42.1885529532918 2.68708796205338 42.145865652011
"68" 18 1976 53 56.1580347116218 -3.2725162184824 37.3330507124855
"69" 19 1976 26 20.9425589209795 -2.62128556282702 40.8274558690964
"70" 20 1976 29 41.3544290567125 -2.16792853126469 43.1528089188849
"71" 21 1976 32 31.5003618952542 -6.83265276754075 37.5978334583402
"72" 22 1976 30 28.8622737449431 -0.059609139223607 42.2142401605038
"73" 23 1976 45 56.1288150317609 -3.44979781370444 38.0308250493701
"74" 24 1976 50 52.0648271348881 -5.82870631120274 42.634323440999
"75" 25 1976 30 40.0958085210457 1.05797639294180 42.0569667018661
"76" 26 1976 35 23.2438828732106 -2.50129759774743 42.2834647638459
"77" 27 1976 42 56.9599890119232 -7.43968312456498 43.0234823442494
"78" 28 1976 186 254.17812244006 -3.71281962879811 40.5070988091236
"79" 29 1976 68 61.4375389621115 -4.73055642619482 36.8262859308411
"80" 30 1976 88 69.5189491715813 -1.49630010993228 38.0192645198754
"81" 31 1976 45 43.5683460982245 -1.62626983258690 42.6731456222013
